Brand,Year,Configuration,Strings,Made in,Type,Body Shape,Body Material,Neck Profile,Neck Joint,Fretboard Material,Neck Material,Expensive Wood,Bridge Type,Bridge,Scale Size,Shape,Frets,Fretboard Radius,Stainless Steel Frets,Nut,Nut Width,Switch,Knobs,Volume Controls,Tone Controls,Bridge Pickup,Neck Pickup,Middle Pickup,Top Pickup Brand,Locking Tuners,Tremolo,Stays in Tune (Evertune),Luminescent Inlay,Compound Radius Fretboard,Price,Number of Frets,Pickups Power
Schecter,2018.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,C,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose 1500 Series,"26.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Locking,47.6mm (1.875''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,False,True,False,False,True,1379.556,24,Active-Active
Jackson,2022.0,HH,7.0,South Korea,Solid Body,Super Strat,Ash,D,Neck-Through,Ebony,Maple,True,Fixed,Hipshot 7 Fixed .175,"27"" to 25.5""",Jackson Standard,Jumbo,"12"" to 16""",False,Ivory Tusq,47.6mm (1.875''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern PRF-MH8 (Humbucker / Active),Fishman Fluence Modern PRF-MH8 (Humbucker / Active),,True,True,False,False,True,True,1614.915,24,Active-Active
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Explorer,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,TonePros T3BT TOM & T1Z Tailpiece,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,False,True,1614.915,24,Active-Active
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Explorer,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,TonePros T3BT TOM & T1Z Tailpiece,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,True,1344.4699999999998,24,Active-Active
ESP E-II,2021.0,HH,6.0,Japan,Solid Body,Super Strat,Alder,U,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,EMG 81 (Humbucker / Active),EMG 60TW-R (Humbucker / Active),,True,True,True,False,False,False,2160.322,24,Active-Active
ESP E-II,2014.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,U,Set,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Pegasus (Humbucker / Passive),Seymour Duncan Sentient (Humbucker / Passive),,True,True,True,False,False,False,1944.5940000000005,24,Passive-Passive
ESP,2017.0,HH,6.0,Japan,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Custom Shop JB/Custom Hybrid Trembucker (Humbucker / Passive),Seymour Duncan Custom Shop '59/Jazz Hybrid (Humbucker / Passive),,True,True,True,False,False,False,2594.5066666666667,24,Passive-Passive
Schecter,2021.0,HH,7.0,United States,Solid Body,Super Strat,Alder,C,Bolt-On,Ebony,Maple,True,Fixed,Hipshot Low Profile Fixed Bridge,"26.5""",Thin fast C,XL Jumbo,"12"" to 16""",True,Compensated,48mm (1.89''),3 Way,Dome,1.0,0.0,Keith Merrow Custom Fishman Fluence (Humbucker / Active),Keith Merrow Custom Fishman Fluence (Humbucker / Active),,True,True,False,False,True,True,2736.0533333333333,24,Active-Active
ESP E-II,2014.0,HH,6.0,Japan,Solid Body,Super Strat,Alder,U,Neck-Through,Ebony,Maple,True,Floyd Rose,Floyd Rose Original,"25.5""",Thin U,XL Jumbo,"12""",False,Locking,42mm (1.654''),3 Way,Dome,1.0,0.0,EMG 81 (Humbucker / Active),EMG 81 (Humbucker / Active),,True,True,True,False,False,False,1714.4020000000005,24,Active-Active
Ibanez,2018.0,HH,7.0,Japan,Solid Body,Super Strat,Mahogany,C,Bolt-On,Maple,Maple,True,Tremolo,Gotoh T1872S tremolo,"25.5""",AZ Oval C,Jumbo,"12""",True,Black Tusq XL,47mm (1.85''),5 Way,Dome,1.0,1.0,Seymour Duncan Hyperion 7 (Humbucker / Passive),Seymour Duncan Hyperion 7 (Humbucker / Passive),,True,True,True,False,True,False,2351.315,24,Passive-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Telecaster,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Hardtail (.125) w/ String Thru Body,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,False,True,1006.66,24,Active-Active
Schecter,2018.0,HH,6.0,South Korea,Solid Body,Telecaster,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,Hipshot Hardtail (.125) w/ String Thru Body,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,True,1118.0475,24,Active-Active
Ibanez,2019.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,Super Wizard,Bolt-On,Maple,Maple,True,Lo-Pro Edge,Lo-Pro Edge tremolo,"25.5""",Super Wizard,Jumbo,"17""",True,Locking,43mm (1.693''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Ceramic (Humbucker / Active),,True,False,True,False,True,False,1807.244,24,Active-Active
Ibanez,2019.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,Super Wizard,Bolt-On,Ebony,Maple,True,Fixed,Gibraltar Standard II,"25.5""",Super Wizard,Jumbo,"17""",True,Black Tusq XL,43mm (1.693''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,False,1592.0275,24,Active-Active
Ibanez,2020.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,Super Wizard,Bolt-On,Ebony,Maple,True,Lo-Pro Edge,Lo-Pro Edge tremolo,"25.5""",Super Wizard,Jumbo,"17""",True,Locking,43mm (1.693''),3 Way,Dome,1.0,1.0,DiMarzio Fusion Edge (Humbucker / Passive),DiMarzio Fusion Edge (Humbucker / Passive),,True,False,True,False,True,False,1891.474,24,Passive-Passive
Ibanez,2021.0,HH,6.0,Japan,Solid Body,Super Strat,Mahogany,Super Wizard,Bolt-On,Ebony,Maple,True,Lo-Pro Edge,Lo-Pro Edge,"25.5""",Super Wizard,Jumbo,"17""",True,Locking,43mm (1.693''),3 Way,Dome,1.0,1.0,DiMarzio The Tone Zone (Humbucker / Passive),DiMarzio Air Norton (Humbucker / Passive),,True,False,True,False,True,False,1871.028,24,Passive-Passive
Ibanez,2022.0,HH,6.0,Indonesia,Solid Body,Super Strat,Basswood,Wizard,Neck-Through,Ebony,Maple,True,Edge,Edge,"25.5""",Wizard III,Jumbo,"15.748""",True,Locking,43mm (1.693''),5 Way,Dome,1.0,1.0,DiMarzio The Tone Zone (Humbucker / Passive),DiMarzio Air Norton (Humbucker / Passive),,True,False,True,False,True,False,1393.9766666666667,24,Passive-Passive
Charvel,2021.0,HSS,6.0,Japan,Solid Body,Super Strat,Basswood,C,Bolt-On,Maple,Maple,False,Tremolo,Gotoh Custom 510 Tremolo,"25.5""",Charvel Speed,Jumbo,"12"" to 16""",True,Ivory Tusq,42.9mm (1.688''),5 Way,Bell,1.0,1.0,Custom Rick Graham Bare Knuckle Humbucking (Humbucker / Passive),Custom Rick Graham Bare Knuckle Single-Coil (Single Coil / Passive),Custom Rick Graham Bare Knuckle Single-Coil (Single Coil / Passive),True,True,True,False,True,True,2403.1166666666663,24,Passive-Passive-Passive
Solar,2020.0,HH,6.0,Indonesia,Solid Body,Super Strat,Mahogany,C,Neck-Through,Ebony,Maple,True,Evertune,Evertune F-Type,"25.5""",Solar C Shape,XL Jumbo,"13.78""",True,Graphite,43mm (1.693''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,True,True,False,1213.8,24,Active-Active
Schecter,2022.0,HH,6.0,South Korea,Solid Body,Les Paul,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,TonePros T3BT TOM & T1Z Tailpiece,"24.75""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,2.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,True,1328.7,24,Active-Active
Ibanez,2018.0,HSS,6.0,Japan,Solid Body,Super Strat,Alder,C,Bolt-On,Maple,Maple,False,Tremolo,Gotoh T1802 Tremolo,"25.5""",AZ Oval C,Jumbo,"12""",True,Bone,42mm (1.654''),5 Way,Bell,1.0,1.0,Seymour Duncan Hyperion (Humbucker / Passive),Seymour Duncan Hyperion (Humbucker / Passive),Seymour Duncan Hyperion (Humbucker / Passive),True,True,True,False,True,False,2186.046,22,Passive-Passive-Passive
Ibanez,2022.0,SH,6.0,Japan,Solid Body,Telecaster,Alder,C,Bolt-On,Rosewood,Maple,True,Tremolo,Gotoh T1802 Tremolo,"25.5""",AZ Oval C,Jumbo,"9"" to 12""",True,Bone,42mm (1.654''),3 Way,Dome,1.0,1.0,Seymour Duncan Alnico II Pro Custom (Single Coil / Passive),Seymour Duncan Magic Touch-mini (Humbucker / Passive),,True,True,True,False,True,True,2588.4466666666667,22,Passive-Passive
Schecter,2018.0,HH,6.0,South Korea,Solid Body,V,Ash,C,Neck-Through,Ebony,Maple,True,Fixed,TonePros T3BT TOM & T1Z Tailpiece,"25.5""",Ultra Thin C,XL Jumbo,"12"" to 16""",True,Compensated,42mm (1.654''),3 Way,Dome,1.0,1.0,Fishman Fluence Modern Ceramic (Humbucker / Active),Fishman Fluence Modern Alnico (Humbucker / Active),,True,True,False,False,True,True,1356.9475,24,Active-Active
Fender,2021.0,HSS,6.0,United States,Solid Body,Stratocaster,Alder,D,Bolt-On,Rosewood,Maple,True,Floyd Rose,Floyd Rose Original Double-Locking 2-Point Tremolo,"25.5""",Augmented “D”,Medium Jumbo,"10"" to 14""",True,Locking,42.8mm (1.685''),5 Way,Bell,1.0,2.0,Fender Ultra Double Tap Humbucking (Humbucker / Passive),Fender Ultra Noiseless™ Hot Strat (Single Coil / Passive),Fender Ultra Noiseless™ Hot Strat (Single Coil / Passive),True,True,True,False,False,True,2285.524,22,Passive-Passive-Passive
